date,text,rating,translated_text,cleaned_text,tokenized_text,initial_token_count,stopword_removed_text,token_count,stemmed_text,ulasan_bersih,skor_lexicon,skor_lexicon_ke_rating,sentimen_multiclass
2022-12-14,Tolong jangan di kasih limit download dong,2,Tolong jangan di kasih limit download dong,tolong jangan di kasih limit download dong,"['tolong', 'jangan', 'di', 'kasih', 'limit', 'download', 'dong']",7,"['kasih', 'limit', 'download']",3,"['kasih', 'limit', 'download']",kasih limit download,-1,3,Netral
2022-08-12,"pas donlot stuck di 0% naik ampe 1-2 % doang, kuota ud kesedot lebih dr 1gb, jelek",1,"pas donlot stuck di 0% naik ampe 1-2 % doang, kuota ud kesedot lebih dr 1gb, jelek",pas donlot stuck di naik ampe doang kuota ud kesedot lebih dr gb jelek,"['pas', 'donlot', 'stuck', 'di', 'naik', 'ampe', 'doang', 'kuota', 'ud', 'kesedot', 'lebih', 'dr', 'gb', 'jelek']",14,"['pas', 'donlot', 'stuck', 'ampe', 'doang', 'kuota', 'ud', 'kesedot', 'dr', 'gb', 'jelek']",11,"['pas', 'donlot', 'stuck', 'ampe', 'doang', 'kuota', 'ud', 'sedot', 'dr', 'gb', 'jelek']",pas donlot stuck ampe doang kuota ud sedot dr gb jelek,-5,1,Negatif
2022-01-22,i cant login. I waited for the text message verification code and a phone but I didn’t get any,1,saya tidak bisa masuk.Saya menunggu kode verifikasi pesan teks dan telepon tetapi saya tidak mendapatkannya,saya tidak bisa masuksaya menunggu kode verifikasi pesan teks dan telepon tetapi saya tidak mendapatkannya,"['saya', 'tidak', 'bisa', 'masuksaya', 'menunggu', 'kode', 'verifikasi', 'pesan', 'teks', 'dan', 'telepon', 'tetapi', 'saya', 'tidak', 'mendapatkannya']",15,"['masuksaya', 'menunggu', 'kode', 'verifikasi', 'pesan', 'teks', 'telepon', 'mendapatkannya']",8,"['masuksaya', 'tunggu', 'kode', 'verifikasi', 'pesan', 'teks', 'telepon', 'dapat']",masuksaya tunggu kode verifikasi pesan teks telepon dapat,-13,1,Negatif
2022-01-08,Download always error if I’m using mobile internet,1,Unduh selalu kesalahan jika saya menggunakan internet seluler,unduh selalu kesalahan jika saya menggunakan internet seluler,"['unduh', 'selalu', 'kesalahan', 'jika', 'saya', 'menggunakan', 'internet', 'seluler']",8,"['unduh', 'kesalahan', 'internet', 'seluler']",4,"['unduh', 'salah', 'internet', 'seluler']",unduh salah internet seluler,-4,1,Negatif
2022-12-30,Gak update .. nyesal berlangganan,1,Gak update .. nyesal berlangganan,gak update nyesal berlangganan,"['gak', 'update', 'nyesal', 'berlangganan']",4,"['update', 'nyesal', 'berlangganan']",3,"['update', 'nyesal', 'langgan']",update nyesal langgan,-2,2,Negatif
2022-02-11,Cuma kurang dark mode aja sih,4,Cuma kurang dark mode aja sih,cuma kurang dark mode aja sih,"['cuma', 'kurang', 'dark', 'mode', 'aja', 'sih']",6,"['dark', 'mode', 'aja', 'sih']",4,"['dark', 'mode', 'aja', 'sih']",dark mode aja sih,1,3,Netral
2020-09-06,"Gabisa screen mirroring, gabisa colok kabel hdmi, ga bisa ntn di TV / layar lebih gede. 

Sort this out lah, uda telat masuk indonya, masa fitur appnya culun gini.",1,"Gabisa screen mirroring, gabisa colok kabel hdmi, ga bisa ntn di TV / layar lebih gede.

Sort this out lah, uda telat masuk indonya, masa fitur appnya culun gini.",gabisa screen mirroring gabisa colok kabel hdmi ga bisa ntn di tv layar lebih gede sort this out lah uda telat masuk indonya masa fitur appnya culun gini,"['gabisa', 'screen', 'mirroring', 'gabisa', 'colok', 'kabel', 'hdmi', 'ga', 'bisa', 'ntn', 'di', 'tv', 'layar', 'lebih', 'gede', 'sort', 'this', 'out', 'lah', 'uda', 'telat', 'masuk', 'indonya', 'masa', 'fitur', 'appnya', 'culun', 'gini']",28,"['gabisa', 'screen', 'mirroring', 'gabisa', 'colok', 'kabel', 'hdmi', 'ntn', 'tv', 'layar', 'gede', 'sort', 'this', 'out', 'uda', 'telat', 'masuk', 'indonya', 'fitur', 'appnya', 'culun', 'gini']",22,"['gabisa', 'screen', 'mirroring', 'gabisa', 'colok', 'kabel', 'hdmi', 'ntn', 'tv', 'layar', 'gede', 'sort', 'this', 'out', 'uda', 'telat', 'masuk', 'indonya', 'fitur', 'appnya', 'culun', 'gin']",gabisa screen mirroring gabisa colok kabel hdmi ntn tv layar gede sort this out uda telat masuk indonya fitur appnya culun gin,-13,1,Negatif
2022-01-20,"It keeps showing error 01100 though I have upgraded my Iphone 7 to ios 15.2.1, reinstall the app and restart the device.. please fix it",2,"Itu terus menunjukkan kesalahan 01100 meskipun saya telah meningkatkan iPhone 7 saya ke iOS 15.2.1, menginstal ulang aplikasi dan restart perangkat .. Harap perbaiki",itu terus menunjukkan kesalahan meskipun saya telah meningkatkan iphone saya ke ios menginstal ulang aplikasi dan restart perangkat harap perbaiki,"['itu', 'terus', 'menunjukkan', 'kesalahan', 'meskipun', 'saya', 'telah', 'meningkatkan', 'iphone', 'saya', 'ke', 'ios', 'menginstal', 'ulang', 'aplikasi', 'dan', 'restart', 'perangkat', 'harap', 'perbaiki']",20,"['kesalahan', 'meningkatkan', 'iphone', 'ios', 'menginstal', 'ulang', 'restart', 'perangkat', 'harap', 'perbaiki']",10,"['salah', 'tingkat', 'iphone', 'ios', 'menginstal', 'ulang', 'restart', 'perangkat', 'harap', 'baik']",salah tingkat iphone ios menginstal ulang restart perangkat harap baik,-7,1,Negatif
2020-09-05,Why no Apple TV app???,4,Mengapa tidak ada aplikasi Apple TV ???,mengapa tidak ada aplikasi apple tv,"['mengapa', 'tidak', 'ada', 'aplikasi', 'apple', 'tv']",6,"['apple', 'tv']",2,"['apple', 'tv']",apple tv,0,3,Netral
2020-11-03,"Lucu..pas download ga boleh di close app nya hrus standby terus kalo ga donlod nya ngulang lagi..terus parah nya ud donlod ampe 98% tiba2 suruh retry lgi alias ngulang donlod..really 🤨..
please fix in.. jangan bikin malu aja..sekelas Disney kok app nya kek app steraming abal2",1,"Lucu..pas download ga boleh di close app nya hrus standby terus kalo ga donlod nya ngulang lagi..terus parah nya ud donlod ampe 98% tiba2 suruh retry lgi alias ngulang donlod..really 🤨..
please fix in.. jangan bikin malu aja..sekelas Disney kok app nya kek app steraming abal2",lucupas download ga boleh di close app nya hrus standby terus kalo ga donlod nya ngulang lagiterus parah nya ud donlod ampe tiba suruh retry lgi alias ngulang donlodreally 🤨 please fix in jangan bikin malu ajasekelas disney kok app nya kek app steraming abal,"['lucupas', 'download', 'ga', 'boleh', 'di', 'close', 'app', 'nya', 'hrus', 'standby', 'terus', 'kalo', 'ga', 'donlod', 'nya', 'ngulang', 'lagiterus', 'parah', 'nya', 'ud', 'donlod', 'ampe', 'tiba', 'suruh', 'retry', 'lgi', 'alias', 'ngulang', 'donlodreally', '🤨', 'please', 'fix', 'in', 'jangan', 'bikin', 'malu', 'ajasekelas', 'disney', 'kok', 'app', 'nya', 'kek', 'app', 'steraming', 'abal']",45,"['lucupas', 'download', 'close', 'app', 'hrus', 'standby', 'kalo', 'donlod', 'ngulang', 'lagiterus', 'parah', 'ud', 'donlod', 'ampe', 'suruh', 'retry', 'lgi', 'alias', 'ngulang', 'donlodreally', '🤨', 'please', 'fix', 'in', 'bikin', 'malu', 'ajasekelas', 'app', 'kek', 'app', 'steraming', 'abal']",32,"['lucupas', 'download', 'close', 'app', 'hrus', 'standby', 'kalo', 'donlod', 'ngulang', 'lagiterus', 'parah', 'ud', 'donlod', 'ampe', 'suruh', 'retry', 'lgi', 'alias', 'ngulang', 'donlodreally', '', 'please', 'fix', 'in', 'bikin', 'malu', 'ajasekelas', 'app', 'kek', 'app', 'steraming', 'abal']",lucupas download close app hrus standby kalo donlod ngulang lagiterus parah ud donlod ampe suruh retry lgi alias ngulang donlodreally  please fix in bikin malu ajasekelas app kek app steraming abal,-16,1,Negatif
2022-06-01,Competitve price than net,5,Harga kompetitif dari net,harga kompetitif dari net,"['harga', 'kompetitif', 'dari', 'net']",4,"['harga', 'kompetitif', 'net']",3,"['harga', 'kompetitif', 'net']",harga kompetitif net,3,4,Positif
2020-09-07,"Gan,... fitur airplay dong di tambahkan.. biar mantull gan",3,"Gan,... fitur airplay dong di tambahkan.. biar mantull gan",gan fitur airplay dong di tambahkan biar mantull gan,"['gan', 'fitur', 'airplay', 'dong', 'di', 'tambahkan', 'biar', 'mantull', 'gan']",9,"['gan', 'fitur', 'airplay', 'tambahkan', 'biar', 'mantull', 'gan']",7,"['gan', 'fitur', 'airplay', 'tambah', 'biar', 'mantull', 'gan']",gan fitur airplay tambah biar mantull gan,0,3,Netral
2020-09-05,Tidak ada film Mulan,2,Tidak ada film Mulan,tidak ada film mulan,"['tidak', 'ada', 'film', 'mulan']",4,"['film', 'mulan']",2,"['film', 'mulan']",film mulan,0,3,Netral
2020-10-03,Thanks for finally providing the Apple TV app but please fix the log-in. It gets stuck after the OTP entry.,1,Terima kasih telah menyediakan aplikasi Apple TV tetapi harap perbaiki loginnya.Itu macet setelah entri OTP.,terima kasih telah menyediakan aplikasi apple tv tetapi harap perbaiki loginnyaitu macet setelah entri otp,"['terima', 'kasih', 'telah', 'menyediakan', 'aplikasi', 'apple', 'tv', 'tetapi', 'harap', 'perbaiki', 'loginnyaitu', 'macet', 'setelah', 'entri', 'otp']",15,"['terima', 'kasih', 'menyediakan', 'apple', 'tv', 'harap', 'perbaiki', 'loginnyaitu', 'macet', 'entri', 'otp']",11,"['terima', 'kasih', 'sedia', 'apple', 'tv', 'harap', 'baik', 'loginnyaitu', 'macet', 'entri', 'otp']",terima kasih sedia apple tv harap baik loginnyaitu macet entri otp,-1,3,Netral
2020-09-10,"Gabisa cast ke chromecast, apa2 an cb, pake cara lain jg gabisa, mirroring malah screen recorder detected, useless, nyesel langganan setahun",1,"Gabisa cast ke chromecast, apa2 an cb, pake cara lain jg gabisa, mirroring malah screen recorder detected, useless, nyesel langganan setahun",gabisa cast ke chromecast apa an cb pake cara lain jg gabisa mirroring malah screen recorder detected useless nyesel langganan setahun,"['gabisa', 'cast', 'ke', 'chromecast', 'apa', 'an', 'cb', 'pake', 'cara', 'lain', 'jg', 'gabisa', 'mirroring', 'malah', 'screen', 'recorder', 'detected', 'useless', 'nyesel', 'langganan', 'setahun']",21,"['gabisa', 'cast', 'chromecast', 'an', 'cb', 'pake', 'jg', 'gabisa', 'mirroring', 'screen', 'recorder', 'detected', 'useless', 'nyesel', 'langganan', 'setahun']",16,"['gabisa', 'cast', 'chromecast', 'an', 'cb', 'pake', 'jg', 'gabisa', 'mirroring', 'screen', 'recorder', 'detected', 'useless', 'nyesel', 'langgan', 'tahun']",gabisa cast chromecast an cb pake jg gabisa mirroring screen recorder detected useless nyesel langgan tahun,-3,2,Negatif
2020-09-07,Tolong ditambah Chromecast ya.,3,Tolong ditambah Chromecast ya.,tolong ditambah chromecast ya,"['tolong', 'ditambah', 'chromecast', 'ya']",4,"['ditambah', 'chromecast', 'ya']",3,"['tambah', 'chromecast', 'ya']",tambah chromecast ya,7,5,Positif
2022-08-25,Pleaseee for disney hotstar can you make a feature for share to instagram story? Like netflix? is sooo gooddd to share a movie/series on our instagram story but there is a sugn like play on disney plus hotstar! Sorry for my english but i hope you understand me!!😡,3,Pleaseee for Disney Hotstar Bisakah Anda membuat fitur untuk dibagikan ke Instagram Story?Suka Netflix?adalah sooo gooddd untuk berbagi film/seri di kisah Instagram kami tetapi ada Sugn seperti Play on Disney Plus Hotstar!Maaf untuk bahasa Inggris saya tapi saya harap Anda mengerti saya !! 😡,pleaseee for disney hotstar bisakah anda membuat fitur untuk dibagikan ke instagram storysuka netflixadalah sooo gooddd untuk berbagi filmseri di kisah instagram kami tetapi ada sugn seperti play on disney plus hotstarmaaf untuk bahasa inggris saya tapi saya harap anda mengerti saya 😡,"['pleaseee', 'for', 'disney', 'hotstar', 'bisakah', 'anda', 'membuat', 'fitur', 'untuk', 'dibagikan', 'ke', 'instagram', 'storysuka', 'netflixadalah', 'sooo', 'gooddd', 'untuk', 'berbagi', 'filmseri', 'di', 'kisah', 'instagram', 'kami', 'tetapi', 'ada', 'sugn', 'seperti', 'play', 'on', 'disney', 'plus', 'hotstarmaaf', 'untuk', 'bahasa', 'inggris', 'saya', 'tapi', 'saya', 'harap', 'anda', 'mengerti', 'saya', '😡']",43,"['pleaseee', 'for', 'hotstar', 'fitur', 'dibagikan', 'instagram', 'storysuka', 'netflixadalah', 'sooo', 'gooddd', 'berbagi', 'filmseri', 'kisah', 'instagram', 'sugn', 'play', 'on', 'plus', 'hotstarmaaf', 'bahasa', 'inggris', 'harap', 'mengerti', '😡']",24,"['pleaseee', 'for', 'hotstar', 'fitur', 'bagi', 'instagram', 'storysuka', 'netflixadalah', 'sooo', 'gooddd', 'bagi', 'filmseri', 'kisah', 'instagram', 'sugn', 'play', 'on', 'plus', 'hotstarmaaf', 'bahasa', 'inggris', 'harap', 'erti', '']",pleaseee for hotstar fitur bagi instagram storysuka netflixadalah sooo gooddd bagi filmseri kisah instagram sugn play on plus hotstarmaaf bahasa inggris harap erti ,-15,1,Negatif
2020-09-17,Bagus” film nya tp kurang lengkap :’(,5,Bagus” film nya tp kurang lengkap :’(,bagus” film nya tp kurang lengkap ’,"['bagus', '”', 'film', 'nya', 'tp', 'kurang', 'lengkap', '’']",8,"['”', 'film', 'tp', 'lengkap', '’']",5,"['', 'film', 'tp', 'lengkap', '']", film tp lengkap ,-3,2,Negatif
2022-01-27,"Hotstar? more like Hotscam, cant even access the damn thing cos it keeps cancelling itself out when i try to log in no otp no ones calling for giving me the code",1,"Hotstar?Lebih seperti hotscam, bahkan tidak dapat mengakses hal sialan karena itu terus membatalkan dirinya sendiri ketika saya mencoba masuk tidak ada OTP tidak ada yang memanggil untuk memberi saya kode",hotstarlebih seperti hotscam bahkan tidak dapat mengakses hal sialan karena itu terus membatalkan dirinya sendiri ketika saya mencoba masuk tidak ada otp tidak ada yang memanggil untuk memberi saya kode,"['hotstarlebih', 'seperti', 'hotscam', 'bahkan', 'tidak', 'dapat', 'mengakses', 'hal', 'sialan', 'karena', 'itu', 'terus', 'membatalkan', 'dirinya', 'sendiri', 'ketika', 'saya', 'mencoba', 'masuk', 'tidak', 'ada', 'otp', 'tidak', 'ada', 'yang', 'memanggil', 'untuk', 'memberi', 'saya', 'kode']",30,"['hotstarlebih', 'hotscam', 'mengakses', 'sialan', 'membatalkan', 'mencoba', 'masuk', 'otp', 'memanggil', 'kode']",10,"['hotstarlebih', 'hotscam', 'akses', 'sial', 'batal', 'coba', 'masuk', 'otp', 'panggil', 'kode']",hotstarlebih hotscam akses sial batal coba masuk otp panggil kode,-16,1,Negatif
2022-04-15,"mau perpanjang ribet, dpt OTP susah banget, pilihan pembayaran dikit",1,"mau perpanjang ribet, dpt OTP susah banget, pilihan pembayaran dikit",mau perpanjang ribet dpt otp susah banget pilihan pembayaran dikit,"['mau', 'perpanjang', 'ribet', 'dpt', 'otp', 'susah', 'banget', 'pilihan', 'pembayaran', 'dikit']",10,"['perpanjang', 'ribet', 'dpt', 'otp', 'susah', 'pilihan', 'pembayaran', 'dikit']",8,"['panjang', 'ribet', 'dpt', 'otp', 'susah', 'pilih', 'bayar', 'dikit']",panjang ribet dpt otp susah pilih bayar dikit,-14,1,Negatif
2020-09-04,So I'm succeed in signing up disney+ indonesia in sept 4th!🎉tho little something's bothering me that is no casting feature from iphone to chromecast yet,3,Jadi saya berhasil mendaftar Disney+ Indonesia pada 4 September! 🎉tho Sedikit sesuatu yang mengganggu saya yang belum ada fitur casting dari iPhone ke Chromecast,jadi saya berhasil mendaftar disney indonesia pada september 🎉tho sedikit sesuatu yang mengganggu saya yang belum ada fitur casting dari iphone ke chromecast,"['jadi', 'saya', 'berhasil', 'mendaftar', 'disney', 'indonesia', 'pada', 'september', '🎉tho', 'sedikit', 'sesuatu', 'yang', 'mengganggu', 'saya', 'yang', 'belum', 'ada', 'fitur', 'casting', 'dari', 'iphone', 'ke', 'chromecast']",23,"['berhasil', 'mendaftar', 'indonesia', 'september', '🎉tho', 'mengganggu', 'fitur', 'casting', 'iphone', 'chromecast']",10,"['hasil', 'daftar', 'indonesia', 'september', 'tho', 'ganggu', 'fitur', 'casting', 'iphone', 'chromecast']",hasil daftar indonesia september tho ganggu fitur casting iphone chromecast,-4,1,Negatif
2022-08-31,gw kira gratis,1,gw kira gratis,gw kira gratis,"['gw', 'kira', 'gratis']",3,"['gw', 'gratis']",2,"['gw', 'gratis']",gw gratis,4,5,Positif
2022-07-10,"Menunggu kode verifikasi sangat begitu lama, tidak bisa langsung login, pengkategorian juga ambigu, mencari cartoon atau anime juga tidak terlalu banyak",1,"Menunggu kode verifikasi sangat begitu lama, tidak bisa langsung login, pengkategorian juga ambigu, mencari cartoon atau anime juga tidak terlalu banyak",menunggu kode verifikasi sangat begitu lama tidak bisa langsung login pengkategorian juga ambigu mencari cartoon atau anime juga tidak terlalu banyak,"['menunggu', 'kode', 'verifikasi', 'sangat', 'begitu', 'lama', 'tidak', 'bisa', 'langsung', 'login', 'pengkategorian', 'juga', 'ambigu', 'mencari', 'cartoon', 'atau', 'anime', 'juga', 'tidak', 'terlalu', 'banyak']",21,"['menunggu', 'kode', 'verifikasi', 'langsung', 'login', 'pengkategorian', 'ambigu', 'mencari', 'cartoon', 'anime']",10,"['tunggu', 'kode', 'verifikasi', 'langsung', 'login', 'kategori', 'ambigu', 'cari', 'cartoon', 'anime']",tunggu kode verifikasi langsung login kategori ambigu cari cartoon anime,-8,1,Negatif
2020-09-05,Aplikasi ini belum tersedia di Apple tv,4,Aplikasi ini belum tersedia di Apple tv,aplikasi ini belum tersedia di apple tv,"['aplikasi', 'ini', 'belum', 'tersedia', 'di', 'apple', 'tv']",7,"['tersedia', 'apple', 'tv']",3,"['sedia', 'apple', 'tv']",sedia apple tv,2,4,Positif
2020-09-09,"I love this app, because it has a lot of content and has a great UI.",5,"Saya suka aplikasi ini, karena memiliki banyak konten dan memiliki UI yang hebat.",saya suka aplikasi ini karena memiliki banyak konten dan memiliki ui yang hebat,"['saya', 'suka', 'aplikasi', 'ini', 'karena', 'memiliki', 'banyak', 'konten', 'dan', 'memiliki', 'ui', 'yang', 'hebat']",13,"['suka', 'memiliki', 'konten', 'memiliki', 'ui', 'hebat']",6,"['suka', 'milik', 'konten', 'milik', 'ui', 'hebat']",suka milik konten milik ui hebat,1,3,Netral
