date,title,text,rating
2022-12-07,Good but bad,"I started subscribing to Disney+ a month ago because I was interested in some of their content. I downloaded the app, subscribed through the application, and I have been surfing through their movies and TV shows ever since. Coming from using Netflix, I found some pros and cons pretty early on. 

Pros:
- Amazing, very wide, and world renowned content
- Much more affordable than their competition
- The application is quite intuitive
- Video resolution is top notch
- Love the way they group movies and tv shows on the bottom navigation bar
- Love how I can watch movies in portrait so I can scroll through other information beneath

Cons:
- No dark mode
- Can’t set my age so I wouldn’t have to press continue on every episode for series that has mature content
- After I leave the app mid-movie, it doesn’t take much for it to reload the whole application, so I lose my movie progress
- Does not pick up where I left off, especially if I use multiple devices (i.e. iPhone and MacBook) so I am forced to scroll through the timeline to see where I last watched it
- If I leave portrait orientation lock to OFF, every time I watch in landscape mode and I play the next episode of a series that has mature content, the modal for me to continue glitches and I can not press on anything to continue
- No PIP in iPhone

So, overall Disney+ is great but the app is horrible. Little ways where it can help improve and smoothens customer journey were left out. At the end of the day, the cons outweighed the pros for me. So, after watching my favorite TV shows, I’m out unless the app gets fixed.",3
2022-07-16,Share to Media Social,Would you mind to make feature ‘share to media social’ like playlist?,4
2020-11-11,Layanan langganan error,"Tolong perbaiki lg aplikasinya, saya udah bayar utk berlangganan namun ketika klik play movienya malah error ( masalah pada saat menyambungkan langganan ).
Ini aplikasi bikin emosi aja dah bayar tapi ga bisa diplay",1
2020-09-05,🥳🤩,Omg seneng bgt disney+ muncul di Indonesia!,5
2020-09-13,Now i can use chromecast,"Ok now i can cast it on my chronecast, 5 stars for you cheers",5
2022-05-05,Parah!,"Ngedownload lama parah.. padahal jaringan bagus penyimpanan kosong.. terus tiap nge download gabisa dijeda, sekalinya dijeda download nya nge refresh ke 0% lagi !.",1
2022-07-15,Sad,GBS PAKE WIFI COK NI PAKET DATA TRS WE LIATNYA😭,4
2020-10-04,Did not support chromecast gen3,I can not see the movie with chromecast gen3 fw 1:49 always loading… please fix it,2
2020-12-22,Bagus.. bagus banget👍👍👍👍👍,"Bagus..., bagus banget👍👍👍👍👍",5
2022-02-13,Oops!,something went wrong. check again next time,3
2020-09-05,Luar biasa,Good job,5
2020-10-07,Berlangganan,Saya udah berlangganan pake DANA tapi kenapa film tetel gabisa dibuka?,1
2022-01-11,I Cant Download the Movie,Why i can’t download any single video on that’s App,1
2022-09-03,DARK MODE,"Please add dark mode, thank you.",5
2022-06-13,Peaky Blinders where man,Can you add Peaky Blinders? I wanted to watch it but i’m not at home and I can’t use my data to watch netflix so please?,1
2022-09-11,down load,Why so slow if we want to download,3
2022-06-23,Film di skip skip,"Tolong yg adegan adegan 18+nya jangan di percepat cepat dong, ga seru jadinya",3
2020-09-11,Fitur cast ke tv ga ada,Ga da fitur cast ke led tv... kalah bersaing dengan layanan streaming yg lain2...,1
2020-11-19,Pembayarannya rumit. Setelah selesai bayar tapi gak masuk ke akun. Silahkan cek 8902276800215797,Pembayaran tak masuk ke akun. Silahkan cek 8902276800215797,1
2020-12-05,Indonesia paling bisa masalah cuan,"Udah paling bener download disney+ yang asli daripada beli disney H ,semua di seleksi film disney yang masuk ke indo ,udah gt ga ada 4k buat appleTV , udeh netflix aja paling bener,kalo udah berbau indonesia pasti dipolitikin nih , tau aje cuan",1
2022-06-13,Kode vertifikasi,Kenapa kode vertifikasi gak masuk” padahal sinyal bagus,1
2020-09-11,Subtitle,"Good apps, but i prefer indonesia subtitle rather than indonesian dub. If you add subtitle choice, i will change my review to 5 stars",3
2020-11-04,Dark Mode,Where the f is dark mode setting?,1
2022-01-25,downloaded??,i can’t watch the videos offline even tho i already download the episodes. so what’s the point of download in the first place?,1
2020-11-04,Bad App,"Aplikasi yang sering crash sewaktu menonton dan film yang disajikan pun kebanyakan film lawas. Kalaupun ada film terbaru, harus membayar lagi untuk bisa nonton.",1
2022-02-11,CANT CONNECT FOR LOONG LONG TIME,Disney Indonesia succkkkkkss! I paid and cannot watching anything!!!,1
2020-09-04,No wonder the subscription is cheap,"Low price for subscription is nice, but it doesn’t offset the fact that the service lacks crucial feature like the ability to cast to TV using Google Cast / AirPlay, ability to login with email address. The content is actually different with the US. There is no new Mulan movie.",1
2020-09-05,Belum bisa cast me smart TV atau chromecast,Develop appsnya supaya bisa connect ke TV atau chromecast ya,3
2022-09-11,Bagus,Woyyyy lah kenapa episode The Owl House ga lengkapppp,4
2020-12-15,Refreshing,"The titles here are refreshing, either the new one or the old one. the colour inside the app is refreshing the eye too.",5
2020-12-26,Long way to go,Very difficult to fast forward on apple tv.,2
2022-11-02,Cannot login,I cannot login using my apple ID although I already subscribe for 1 year. It only login using phone number.,1
2020-09-10,Ga bisa casting dari iPhone & iPad.,Ga bisa casting dari iPhone & iPad. Come on. Ini 2020 lho 😂,5
2020-09-25,Paket murah(an),"Cuma bisa di iphone ga ada di apple tv.. kualitas ga ada yg 4k ato hdr.. ga bisa mirroring.. series ga lengkap.. untung cuma langganan yg promo telkomsel, abis promo nya ga bakal langganan lagi.. pantes murah.. ternyata murahan..",1
2020-09-05,Better than Netflix,This app has Indonesia dubbing for almost all movies and TV series and I love it.,5
2022-10-09,Can’t subscribe,"Can’t continue payment using gopay, instead opening gojek app, its open the browser and make the payment flow broken",3
2022-09-02,Business News,Hello Everything Good News Disney+ Your With Movie Time We Thank You For Business News,5
2020-10-13,Profile please,"It’s not a bad application but it can be better, please give us a profile, so everyone can get one & things don’t get messy in the app (just like netflix it can be up to 4/5 profiles in one account) and please improve the resolution sometimes it’s really bad. Thank you.",3
2020-09-04,Dark Mode ketinggalan,Please add dark mode feature please,5
2020-09-07,PROBLEM : SCREEN RECORDING DETECTED,"Mengecewakan! 

Walaupun uda di update, saat menggunakan kabel HDMI masih bermasalah ga bisa di putar di TV! 

Selalu muncul keterangan “screen recording detected...” 

Sangat mengganggu!",1
2020-09-24,Apple TV 4k,Saya masi belum menemukan cara install app ini di appletv 4k. Sedangkan untuk di ipad/iphone kualitas sangat baik,4
2020-09-04,?,Kan udah bayar di Telkomsel kok bayar lagi ?,5
2020-11-01,ENGLISH SUBS !!,Please add english subs to every movies and series... sometimes when you are chewing your snacks.. you cant even hear the movie 😤,3
2022-02-01,errrorrrrr,"UDH CAPE2 DOWNLOAD MASIH AJA BUFFERING, UDH GITU SUBTITLE GAMAU NONGOL. GAJELASSSS ASLII",1
2022-02-19,Always Buffering,"Heran lah pake streaming lain lancar-lancar aja nontonnya, giliran streaming ini kalo udah setengah episode buffering pasti. Mesti restart app kalo mau bufferingnya hilang",3
2022-02-21,Error,Sudah mahal mahal berlangganan kok masuknya ke nomor lain tolong diperbaikin atau balikin saldo nya,1
2020-09-05,No Chromecast,Not compatible with Chromecast,2
2022-01-07,Disnuy,Kode otp nya lama bgt aswww selebihnya good aja,4
2020-12-06,This is excellent 👍👍❤️,Lov this app,5
2022-06-22,OTP bermasalah,Berkali kali selalu bermasalah dengan OTP tak diterima,2
2020-11-28,Mirroring,Please make it available for mirroring to smart TV,3
2022-08-17,Kode otp terlalu lama,Mau login aja nunggu kode otp nggak masuk-masuk,5
2020-09-04,Terima kasih sudah mewujudkan disney+ di Indonesia,Terima kasih sudah mewujudkan disney+ di Indonesia,5
2020-09-13,🙏🏻,Baru liat iklan udh seneng tau nya bayar 🙂👍🏻,1
2022-10-08,TERRIBLE UI UX,"A lot of bug in the app, ask if im 21+ every single episode, making it inconvenient to bingewatch. Screen keep rotating it makes no sense. Probably will unsubscribe, Netflix soooooo much better",1
2020-09-24,Satisfy my kids craving for disney movies but....,"Well I got what I kinda got what I wanted in unlimited frozen, lion kings and disney kid shows. But.... some episodes and seasons are jumbled up for example futurama. It should be a simple fix... why is it taking so long??",3
2020-09-04,Can’t Even Register,Please send me the 4-digit code! I haven’t successfully registered because the code fails to be sent to my number!,1
2020-09-10,Chromecast,"Please make Chromecast be available as soon as possible.
Add more movies/series. I subscribed to watch all old series like Merry Melodies, old cartoons of Mickey, Donald, Goofy, Pluto, Duck Tales, Darkwing Duck, Talespin, Gummy Bears, etc.",4
2020-09-05,"Regional issues, its getting on my nerves","I’m downloading this app from indonesian app store.
But its payment and region got redirected to Indian Disney+, all the movie are in Indian languages which I don’t even understand any of it.

Are you kidding? Please fix this asap or make an option to change regions manually!",1
2020-09-09,Missing things,"The movie selection is decent but the tv series, not so much

Also lacked features, mainly Apple TV support and Chromecast support",3
2020-10-07,Bad!,Unstable video quality and lot of buffering even in good internet connection. Netflix better,1
2020-09-04,Verification code bug,Whenever I input the 4 digit code to the app it keeps saying it is incorrect!! Frustrating!,1
2022-10-09,Saya sudah login tapi tidak bisa nonton gratis?!,Tolong aplikasinya di perbaiki,3
2020-09-04,Dark mode,Silau cuy. Please lah,3
2022-01-22,SMS OTP never arrived,Subscribed but cannot login as I never get the OTP.,1
2022-08-28,terbaik,terbaik,5
2020-09-05,Cant airplay,"Can not air play to apple tv
And there is no apple tv app",1
2020-09-24,Bapuk,Tidak berkualitas dan sangat mengecewakan. Gak lagi lagi gue berlangganan kalau nanti dah abis,1
2020-09-13,TvOS blom ada,"Saya pengguna apple tv, tolong dibuatkan jg di TvOS.. 🙏🏻",4
2020-09-13,Something is missing...,No English subtitles. Disappointing...,2
2020-09-05,Kondisi aplikasi kalau offline,"Min mau kasih masukan, Untuk update aplikasi selanjutnya kalau bisa pilihan ‘Go to Downloads’ biar keluar min pilihannya, soalnya kalau kita lagi gak online gak bisa nonton film yang sudah kita download min",4
2020-12-20,Keren.,Bisa menikmati film-film keren dalam kualitas gambar dan suara yg dasyat...terima kasih Disney +hotstar,5
2020-09-10,great,"honestly tho it would be much better if they added more seasons to the series especially the old ones. like wizards of waverly place, i was expecting it to have all seasons but it’s just one on this app. It’s alsoo worth it to watch soo many movies and series for 39k a month 😍",5
2022-08-17,Banyakin drama korea,Banyakin drama korea,4
2020-12-19,Can’t cast to Chromecast anymore,This new update have a bug. I can’t cast movie to Chromecast anymore. Please fix,1
2022-10-14,takes years to receive 4 digit verification code,"whenever i logged in my disney to a device, it always asking for a 4 digit code that wont appear in the message",1
2020-10-13,Masalah di Ipad 2018,"Sudah ios terbaru, app terbaru tetep ga bisa rugi saya bintang satu dulu kalau dah bisa baru bintang 5",1
2022-05-14,Pembatalan berlangganan,Tolong direspon email saya perihal request pembatalan berlanganan. Sampai saat ini tidak ada feedback,1
2020-10-08,Kurang ramah sama tablet mode,"Andaikan Aplikasi bisa menyesuaikan tampilan pada Tablet, sepertinya akan semakin menyenangkan. Repot muter-mutwr tablet yang sekarang. Semoga segera update",4
2020-09-06,There isn’t a casting feature?,"Is there a casting button in this version? The website says we can cast to tv, but can’t find one.",3
2020-09-05,R,Harganya bersahabat banget kontennya juga berkualitas best lah disney+,5
2022-07-31,Tidak ada kode verifikasi,Tidak ada sms datang,1
2020-09-05,Bagus bangeet!,"Apk nya bagus banget,ada fitur tonton gratis nya,banyak serial,dll

Thanks Disney😘",5
2022-03-04,OTP Code,OTP code took forever to arrive,2
2020-09-06,Airplay,Blm bisa airplay/ mirroring ke Apple TV..,2
2022-08-24,Code verification,I didnt get code verification,1
2020-12-04,very awful,"very awful, could not download. pls repair",1
2020-09-08,Keren!,Suka banget 😍😍😍,5
2020-12-06,Add,Please add to instagram feature,5
2020-09-06,Can’t connect to tv,"Can’t be connected to tv using adapter, detected as screen recording. Only want to see it on bigger screen, why can’t be connected.....why oh why...???",3
2020-10-31,Can’t download,"Everytime i downloaded something and goes offline it won’t show, they don’t even have us go to the downloaded section when we’re offline 👎👎👎",2
2022-04-28,Cant downlodad,"pla
ease fix this issue. i'm using ip11",2
2020-12-27,Stuck at Disney+ hotstar logo,This app stuck at logo an Nothing happen(freeze)... thanks and fit it!!!,1
2022-03-24,Bad conection and bad when downloading,"Bad conectivity, bad when downloading film always error or stuck when play downloaded film. Far from Disney quality.",1
2020-09-06,Subtitle dan Dark Mode,Tolong tambahkan pilihan subtitle pada animation series nya dan juga tolong tambahkan untuk pilihan dark mode 😢🙏🏻,3
2022-03-13,Cannot run with projector?,"I’d like to watch the cartoon movies with my 3 little nephews and 4 little nieces on larger screen, projector. It’s connected succesfully with the projector but when playing the movies it suddenly stops saying recording cable detected and will not run until it’s unplugged, oh come on, we just want to watch cartoons together, do not want to record anything… you know, it’s very uncomfortable watching with kids using phone.",4
2020-09-04,Can’t login,I can’t login through apps. Always incorrect code even the number is same. Please fix this.,1
2022-05-10,Impressive,"This app is quite good,but some bugs need to be fixed,especially when you wanna change the episodes in some movie ,it feels laggy and sometime crashed,9/10",4
2022-06-25,👎👎👎👎👎,"Pas di luar negeri, langsung gak bisa pakai. Mantap 👎👎👎👎👎",1
